year,state,state_po,district,dem_share,rep_share,margin,winner,margin_abs,competitive,district_id,total_population,median_income,pct_college,pct_hs_only,pct_white,pct_black,pct_asian,pct_hispanic,pct_nonwhite,cvap_total,incumbent_running,open_seat,generic_ballot_margin,redistricting_year,prev_margin,prev_winner,dem_share_lag,party_flip,dem_swing,competitiveness_score,district_vs_generic,pres_popular_margin,pres_year,natl_unemployment_rate,natl_gdp_growth,pres_approval,urban_rural_code,urban_rural_label,poverty_rate,district_unemployment_rate,median_age,median_home_value,owner_occ_rate,health_ins_rate
2016,ILLINOIS,IL,1,0.7409469958399554,0.2590276766435975,-0.4819193191963579,D,0.4819193191963579,False,IL-01,710088,49456.0,0.2744101002781856,0.2779144340839896,0.4076001847658318,0.513116684129291,0.0180949403454219,0.0977456315273599,0.5923998152341682,545529,True,False,-1.0,False,-0.461761937148957,D,0.7308809685744785,False,0.010066027265476896,0.5180806808036421,0.5180806808036421,2.1,2016.0,4.7,1.7,48.5,1,Large central metro,0.19314507930780708,0.13857415477512888,38.1,173800.0,0.6037987702965355,0.4670379858694775
2018,ILLINOIS,IL,1,0.735056323555073,0.1976074606898423,-0.5374488628652306,D,0.5374488628652306,False,IL-01,708118,52946.0,0.2846995431256593,0.2713989097221346,0.4143010063294535,0.5093543731411996,0.0191888922467724,0.1018248371034206,0.5856989936705465,546001,True,False,8.6,False,-0.4819193191963579,D,0.7409469958399554,False,-0.005890672284882381,0.46255113713476936,-9.13744886286523,2.1,2016.0,3.9,3.0,42.0,1,Large central metro,0.18016334649347518,0.11661219763986562,38.3,181900.0,0.5967451020262154,0.46740313127668703
2020,ILLINOIS,IL,1,0.7380068466395795,0.2615225622302944,-0.4764842844092851,D,0.4764842844092851,False,IL-01,705263,57466.0,0.3007873949948503,0.2610144421904998,0.4066000910298711,0.5023147393241953,0.0206036613291779,0.1116477115629205,0.593399908970129,546134,True,False,6.8,False,-0.5374488628652306,D,0.735056323555073,False,0.0029505230845064956,0.5235157155907149,-7.2764842844092845,4.5,2020.0,8.1,-3.4,41.9,1,Large central metro,0.166674835729752,0.10279689227906134,38.9,194600.0,0.6077857445671208,0.4681049291474293
2022,ILLINOIS,IL,1,0.6702832473412657,0.3296114562493419,-0.3406717910919237,D,0.3406717910919237,False,IL-01,754024,68067.0,0.3165838768830807,0.2631805977886616,0.4054048677495676,0.4950160737589254,0.0205033261540746,0.0877067573445938,0.5945951322504324,587341,True,False,-2.8,True,-0.4764842844092851,D,0.7380068466395795,False,-0.06772359929831384,0.6593282089080763,2.459328208908076,4.5,2020.0,3.6,2.1,40.4,1,Large central metro,0.15444836314069227,0.10207584518414335,39.7,245600.0,0.6180280603439524,0.4724860751109384
2012,ILLINOIS,IL,2,0.6325005374321492,0.2321538936959208,-0.4003466437362283,D,0.4003466437362283,False,IL-02,713870,47261.0,0.2116900289774115,0.2954190378102852,0.378802863266421,0.5525221679017188,0.007239413338563,0.1288876125905277,0.6211971367335789,525088,,,-1.0,True,,,,False,,0.5996533562637717,0.5996533562637717,3.9,2012.0,8.1,2.3,49.1,1,Large central metro,0.19572583302091498,0.15706096533025904,36.9,147100.0,0.6454971951511224,0.46781130423732403
2014,ILLINOIS,IL,2,0.7849421832316685,0.2144213917147249,-0.5705207915169437,D,0.5705207915169437,False,IL-02,711167,45779.0,0.2130354979705848,0.2944634781120046,0.3786818004772437,0.5562659684715404,0.007351297233983,0.1323514730014188,0.6213181995227562,529652,True,False,-5.7,False,-0.4003466437362283,D,0.6325005374321492,False,0.15244164579951935,0.4294792084830563,5.1294792084830565,3.9,2012.0,6.2,2.5,42.6,1,Large central metro,0.209586005065833,0.1710601985512382,37.4,130800.0,0.6282045338649113,0.4674392192615426
2016,ILLINOIS,IL,2,0.7980762048335948,0.2019237951664052,-0.5961524096671895,D,0.5961524096671895,False,IL-02,704139,45727.0,0.2229079389260118,0.2937497836097358,0.3751858652908019,0.563492435442434,0.0071789802865627,0.1319114549826099,0.624814134709198,531614,True,False,-1.0,False,-0.5705207915169437,D,0.7849421832316685,False,0.013134021601926227,0.4038475903328105,0.4038475903328105,2.1,2016.0,4.7,1.7,48.5,1,Large central metro,0.2099972762999183,0.15877978484241262,38.0,123100.0,0.617961939556501,0.46747059059472035
2018,ILLINOIS,IL,2,0.8105555343016608,0.1894444656983392,-0.6211110686033217,D,0.6211110686033217,False,IL-02,703782,49393.0,0.2260121821680122,0.2958711198157377,0.36653679690586,0.5703243333873274,0.0075733678894885,0.1383240833098885,0.63346320309414,533678,True,False,8.6,False,-0.5961524096671895,D,0.7980762048335948,False,0.01247932946806607,0.37888893139667834,-9.22111106860332,2.1,2016.0,3.9,3.0,42.0,1,Large central metro,0.1938411674041521,0.13320919698570485,38.2,127300.0,0.613532433696564,0.46618331178826017
2020,ILLINOIS,IL,2,0.7881411095229467,0.2118588904770532,-0.5762822190458934,D,0.5762822190458934,False,IL-02,692805,53158.0,0.2366595796591265,0.2944716984420201,0.3482047618016614,0.5733113935378642,0.0076832586369902,0.1430359191980427,0.6517952381983386,527081,True,False,6.8,False,-0.6211110686033217,D,0.8105555343016608,False,-0.022414424778714137,0.4237177809541066,-7.376282219045893,4.5,2020.0,8.1,-3.4,41.9,1,Large central metro,0.18243002494160498,0.11551136697409388,38.1,135100.0,0.6164024645107358,0.46698838550343075
2022,ILLINOIS,IL,2,0.6712752479980877,0.3287247520019122,-0.3425504959961754,D,0.3425504959961754,False,IL-02,755018,59002.0,0.2376164108721238,0.3103480280254978,0.4004752204583202,0.4720602687618043,0.0105004119107094,0.1481236208938065,0.5995247795416798,575217,True,False,-2.8,True,-0.5762822190458934,D,0.7881411095229467,False,-0.116865861524859,0.6574495040038246,2.4574495040038244,4.5,2020.0,3.6,2.1,40.4,1,Large central metro,0.17742613325405565,0.09531761570227539,38.4,147900.0,0.6294033572454351,0.47412481893615677
