district_id,state,state_po,district
LA-05,LOUISIANA,LA,5
LA-06,LOUISIANA,LA,6
MN-08,MINNESOTA,MN,8
MS-03,MISSISSIPPI,MS,3
NY-07,NEW YORK,NY,7
OH-08,OHIO,OH,8
OH-11,OHIO,OH,11
SC-02,SOUTH CAROLINA,SC,2
SC-06,SOUTH CAROLINA,SC,6
TN-06,TENNESSEE,TN,6
TX-13,TEXAS,TX,13
TX-17,TEXAS,TX,17
TX-19,TEXAS,TX,19
AZ-07,ARIZONA,AZ,7
CA-35,CALIFORNIA,CA,35
FL-04,FLORIDA,FL,4
FL-21,FLORIDA,FL,21
FL-25,FLORIDA,FL,25
GA-03,GEORGIA,GA,3
GA-08,GEORGIA,GA,8
LA-04,LOUISIANA,LA,4
TX-03,TEXAS,TX,3
TX-29,TEXAS,TX,29
AR-03,ARKANSAS,AR,3
MA-02,MASSACHUSETTS,MA,2
CA-40,CALIFORNIA,CA,40
MN-02,MINNESOTA,MN,2
MN-03,MINNESOTA,MN,3
CA-44,CALIFORNIA,CA,44
CO-08,COLORADO,CO,8
FL-28,FLORIDA,FL,28
MA-01,MASSACHUSETTS,MA,1
MA-07,MASSACHUSETTS,MA,7
MT-01,MONTANA,MT,1
MT-02,MONTANA,MT,2
NC-14,NORTH CAROLINA,NC,14
OR-06,OREGON,OR,6
TX-37,TEXAS,TX,37
TX-38,TEXAS,TX,38
